,Presidente,AnioNacimiento,InicioMandato,FinMandato
0,Simón Bolívar Palacios,1783,1827,1830
1,Francisco de Paula Santander,1792,1819,1826
2,Joaquín Mariano Mosquera,1787,1830,1830
3,Rafael José Urdaneta,1788,1830,1831
4,Domingo Caycedo Santamaría,1783,1831,1831
5,José Ignacio de Márquez,1793,1831,1841
6,Pedro Alcántara Herrán,1800,1841,1845
7,Tomás Cipriano de Mosquera,1798,1845,1849
8,José Hilario López,1798,1849,1853
9,José María Obando,1795,1853,1854
10,José María Melo,1800,1854,1854
11,Manuel María Mallarino,1808,1855,1857
12,Mariano Ospina Rodríguez,1805,1857,1861
13,Juan Jose Nieto Gil,1803,1861,1861
14,Manuel Murillo Toro,1816,1864,1866
15,Santos Acosta Castillo,1828,1867,1868
16,Santos Gutiérrez Prieto,1820,1868,1870
17,Eustorgio Salgar,1831,1870,1872
18,Santiago Pérez,1830,1874,1876
19,Aquileo Parra,1825,1876,1878
20,Julián Trujillo,1828,1878,1880
21,Rafael Núñez,1825,1880,1888
22,Francisco Javier Zaldua,1823,1882,1882
23,José Eusebio Otálora,1834,1882,1884
24,José María Campo Serrano,1832,1886,1886
25,Carlos Holguín Mallarino,1832,1888,1892
26,Miguel Antonio Caro,1834,1892,1898
27,Manuel Antonio Sanclemente,1814,1898,1900
28,José Manuel Marroquín,1827,1900,1904
29,Rafael Reyes,1849,1904,1909
30,Ramón González Valencia,1851,1909,1910
31,Carlos E. Restrepo,1867,1910,1914
32,José Vicente Concha,1867,1914,1918
33,Marco Fidel Suárez,1855,1918,1921
34,Jorge Holguín,1848,1921,1922
35,Pedro Nel Ospina,1858,1922,1926
36,Miguel Abadía Méndez,1867,1926,1930
37,Enrique Olaya Herrera,1880,1930,1934
38,Alfonso López Pumarejo,1886,1934,1945
39,Eduardo Santos Montejo,1888,1938,1942
40,Darío Echandía,1897,1944,1944
41,Alberto Lleras Camargo,1906,1942,1962
42,Mariano Ospina Pérez,1891,1946,1950
43,Laureano Gómez Castro,1889,1950,1951
44,Roberto Urdaneta Arbeláez,1890,1951,1953
45,Gustavo Rojas Pinilla,1900,1953,1957
46,Guillermo León Valencia,1909,1962,1966
47,Carlos Lleras Restrepo,1908,1966,1970
48,Misael Pastrana Borrero,1923,1970,1974
49,Alfonso López Michelsen,1913,1974,1978
50,Julio César Turbay Ayala,1916,1978,1982
51,Belisario Betancur Cuartas,1923,1982,1986
52,Virgilio Barco Vargas,1921,1986,1990
53,César Gaviria Trujillo,1947,1990,1994
54,Ernesto Samper Pizano,1950,1994,1998
55,Andrés Pastrana Arango,1954,1998,2002
56,Álvaro Uribe Vélez,1952,2002,2010
57,Juan Manuel Santos Calderón,1951,2010,2018
58,Iván Duque Márquez,1976,2018,2022
59,Gustavo Petro,1960,2022,2026
