departamento,municipio,año,periodo,areaSembradaHa,areaCosechadaHa,produccionT,cicloDeCultivo
CAUCA,SUCRE,2010,2010,958,836,387,PERMANENTE
ANTIOQUIA,CIUDAD BOLIVAR,2007,2007,9680,8510,9935,PERMANENTE
ANTIOQUIA,ANDES,2007,2007,8696,8484,13574,PERMANENTE
ANTIOQUIA,SALGAR,2007,2007,6011,4200,4720,PERMANENTE
ANTIOQUIA,CONCORDIA,2007,2007,5578,5012,6182,PERMANENTE
ANTIOQUIA,BETANIA,2007,2007,5439,5439,5482,PERMANENTE
ANTIOQUIA,BETULIA,2007,2007,4845,4532,4826,PERMANENTE
ANTIOQUIA,ABEJORRAL,2007,2007,4067,3819,2329,PERMANENTE
ANTIOQUIA,SONSON,2007,2007,3660,3000,3600,PERMANENTE
ANTIOQUIA,ITUANGO,2007,2007,3067,2873,3110,PERMANENTE
ANTIOQUIA,NARIÑO,2007,2007,2973,2653,2643,PERMANENTE
ANTIOQUIA,TAMESIS,2007,2007,2657,1519,1702,PERMANENTE
ANTIOQUIA,CAÑASGORDAS,2007,2007,2545,2447,1175,PERMANENTE
ANTIOQUIA,FREDONIA,2007,2007,2497,2197,2856,PERMANENTE
ANTIOQUIA,JARDIN,2007,2007,2348,2348,3170,PERMANENTE
ANTIOQUIA,EBEJICO,2007,2007,2015,1200,1344,PERMANENTE
ANTIOQUIA,DABEIBA,2007,2007,2000,1864,1864,PERMANENTE
ANTIOQUIA,JERICO,2007,2007,2000,1810,2244,PERMANENTE
ANTIOQUIA,ARGELIA,2007,2007,1800,1800,1800,PERMANENTE
ANTIOQUIA,YOLOMBO,2007,2007,1800,1700,1360,PERMANENTE
ANTIOQUIA,SAN CARLOS,2007,2007,1627,1627,1464,PERMANENTE
ANTIOQUIA,PUEBLO RICO,2007,2007,1623,1430,1287,PERMANENTE
ANTIOQUIA,AMALFI,2007,2007,1552,1432,1439,PERMANENTE
ANTIOQUIA,SANTAFE DE ANTIOQUIA,2007,2007,1524,1407,1896,PERMANENTE
ANTIOQUIA,COCORNA,2007,2007,1510,1473,1473,PERMANENTE
ANTIOQUIA,MONTEBELLO,2007,2007,1510,1450,1450,PERMANENTE
ANTIOQUIA,SANTA BARBARA,2007,2007,1400,1317,1377,PERMANENTE
ANTIOQUIA,SANTO DOMINGO,2007,2007,1334,1249,1499,PERMANENTE
ANTIOQUIA,CAICEDO,2007,2007,1299,1195,1193,PERMANENTE
ANTIOQUIA,HELICONIA,2007,2007,1264,960,864,PERMANENTE
ANTIOQUIA,FRONTINO,2007,2007,1260,1260,1260,PERMANENTE
ANTIOQUIA,SAN RAFAEL,2007,2007,1260,1260,1260,PERMANENTE
ANTIOQUIA,LIBORINA,2007,2007,1250,1250,1375,PERMANENTE
ANTIOQUIA,ANGOSTURA,2007,2007,1240,1180,1180,PERMANENTE
ANTIOQUIA,PEQUE,2007,2007,1233,909,1045,PERMANENTE
ANTIOQUIA,URAMITA,2007,2007,1206,1176,729,PERMANENTE
ANTIOQUIA,ANZA,2007,2007,1200,1140,1311,PERMANENTE
ANTIOQUIA,SAN ROQUE,2007,2007,1151,1072,1093,PERMANENTE
ANTIOQUIA,URRAO,2007,2007,1145,1030,1030,PERMANENTE
ANTIOQUIA,BARBOSA,2007,2007,1131,711,924,PERMANENTE
ANTIOQUIA,SABANALARGA,2007,2007,1105,1096,1057,PERMANENTE
ANTIOQUIA,CARAMANTA,2007,2007,1089,1039,962,PERMANENTE
ANTIOQUIA,MEDELLIN,2007,2007,1078,1027,822,PERMANENTE
ANTIOQUIA,TARSO,2007,2007,1041,951,1142,PERMANENTE
ANTIOQUIA,SOPETRAN,2007,2007,1038,978,1174,PERMANENTE
ANTIOQUIA,GRANADA,2007,2007,926,853,640,PERMANENTE
ANTIOQUIA,BURITICA,2007,2007,906,856,719,PERMANENTE
ANTIOQUIA,AMAGA,2007,2007,832,785,570,PERMANENTE
ANTIOQUIA,ARMENIA,2007,2007,788,769,865,PERMANENTE
ANTIOQUIA,HISPANIA,2007,2007,769,448,433,PERMANENTE
ANTIOQUIA,GOMEZ PLATA,2007,2007,755,691,777,PERMANENTE
ANTIOQUIA,SAN ANDRES,2007,2007,739,626,508,PERMANENTE
ANTIOQUIA,ALEJANDRIA,2007,2007,739,733,733,PERMANENTE
ANTIOQUIA,VALPARAISO,2007,2007,721,660,734,PERMANENTE
ANTIOQUIA,VENECIA,2007,2007,711,653,586,PERMANENTE
ANTIOQUIA,GIRALDO,2007,2007,659,582,698,PERMANENTE
ANTIOQUIA,SAN JERONIMO,2007,2007,657,622,529,PERMANENTE
ANTIOQUIA,GUADALUPE,2007,2007,622,577,519,PERMANENTE
ANTIOQUIA,TITIRIBI,2007,2007,613,569,780,PERMANENTE
ANTIOQUIA,SANTA ROSA DE OSOS,2007,2007,610,610,620,PERMANENTE
ANTIOQUIA,ANGELOPOLIS,2007,2007,600,600,480,PERMANENTE
ANTIOQUIA,LA CEJA,2007,2007,587,559,627,PERMANENTE
ANTIOQUIA,VEGACHI,2007,2007,530,516,619,PERMANENTE
ANTIOQUIA,TOLEDO,2007,2007,498,289,232,PERMANENTE
ANTIOQUIA,PEÑOL,2007,2007,480,480,472,PERMANENTE
